('fvj6t2Wmf6Y', 0.00011261337997379913)
('qpcwV65DoFY', 0.00011261337997379913)
('TGPRtOUgBE0', 0.00011261337997379913)
('UiN1Hxk8aRI', 0.00011229264344389748)
('ljUiH11wbHg', 0.00011229264344389748)
('K_DlRp1FGFM', 0.00011229264344389748)
('HqKgEDXOZL0', 0.00011229264344389748)
('MqXThTPmesw', 0.00011229264344389748)
('UbB2MeP78fM', 0.00011229264344389748)
('UCkYOgBDo_w', 0.00011226689843599034)
('6YGvtdVVr_o', 0.00011226689843599034)
('_426F15JVIA', 0.00011205653456279198)
('4ICJVXRcuHs', 0.00011205653456279198)
('VW0i1zZhKKw', 0.0001119121485157262)
('7hAhmeHR3l4', 0.00011177660543929526)
('7QN0ZWjB3K0', 0.00011166042811926913)
('QO6cyNwM2uA', 0.00011166042811926913)
('SSK6oM7SA5E', 0.00011166042811926913)
('aK1wghunVtk', 0.00011162084589964408)
('Xdt2H1TY9c0', 0.00011162084589964408)
('a3HZHK-oOQ8', 0.00011162084589964408)
('kSv2ws8Ynsc', 0.00011162084589964408)
('vCbYIlvkiQE', 0.00011162084589964408)
('LkMp2Z2KSl0', 0.00011162084589964408)
('irspxflDjHw', 0.00011145397987384144)
('hkfU9Y8Doj8', 0.00011145397987384144)
('n0PQsXKdT6Y', 0.00011145397987384144)
('2RUmaUtuzrs', 0.00011137070128216778)
('aKRYjwVtHf0', 0.00011134030067876985)
('hvvAD2xcEg4', 0.00011134030067876985)
('NVdf7KrevF0', 0.00011126639119253576)
('lmKFqFDRfrQ', 0.00011126639119253576)
('KoIBOx5oWVo', 0.00011126639119253576)
('wWtx8aGRw-k', 0.00011126639119253576)
('bQTtU4u9ZrE', 0.00011126639119253576)
('NaF638MBSAE', 0.00011104274468384245)
('zV1o9cxhWa0', 0.00011104274468384245)
('SnLrJy3hYLI', 0.00011104274468384245)
('gXzYouomKx0', 0.00011102042912541056)
('5UH4ZsI0-vM', 0.0001109560868529827)
('rjIEppXtW9k', 0.0001109560868529827)
('riJ32v5dc9Y', 0.0001109560868529827)
('WUK2wLkEZhg', 0.0001109560868529827)
('4Ao1bvmTYVw', 0.0001109560868529827)
('NtwTv8VWgUU', 0.0001109560868529827)
('2x71QrWe3I0', 0.0001109560868529827)
('7jFplFvR7JU', 0.0001109560868529827)
('5k4YbhcAr9Q', 0.0001109560868529827)
('Smyz1kkzTGM', 0.00011093693008588634)
('mhz1RZrs64k', 0.00011093693008588634)
('ixdeRe1AyMM', 0.00011091103936894933)
('9GOcO5GWUEY', 0.00011091103936894933)
('y_jTaqTybk8', 0.00011090100587466927)
('1nvfhV-bHGM', 0.00011090100587466927)
('zAsZMOZSWzU', 0.00011090100587466927)
('7LqKaxZg6jk', 0.00011090100587466927)
('1AZ4nSgaUds', 0.00011090100587466927)
('aWWFWsace9I', 0.00011090100587466927)
('77WLbeOdMeI', 0.00011090100587466927)
('3jtXClaV--M', 0.00011089747512543875)
('7ndeYG71FOk', 0.00011089747512543875)
('kqNfa9sAj1g', 0.00011089747512543875)
('1l0fH0dRUow', 0.00011089161799621013)
('Arp8HIExg5M', 0.00011080493061396702)
('UFzSFngiqX4', 0.00011080493061396702)
('9eSWNGbnMc0', 0.00011080493061396702)
('TRo-2fDgzy4', 0.00011080493061396702)
('0pwvZnurzMg', 0.00011072277339206171)
('kuEYap3TBuQ', 0.00011072277339206171)
('oQLi0dTGsBk', 0.00011072277339206171)
('LuXid1BK8nY', 0.00011069100945465176)
('qD51LaxFj6s', 0.00011062397008358918)
